"Название статьи"	"Дата публикации"	"Автор статьи"	"Рубрика"	"Путь к файлу"
"РАЗГОВОР О СОВРЕМЕННОМ БИЗНЕСЕ"	"Март 14th, 2013 09:14 ДП"	"-"	"Народ и власть"	"2013/March/2952.txt"
"В МИЧУРИНСКИЙ ПРИШЛО КАРАТЭ"	"Март 14th, 2013 09:13 ДП"	"-"	"Спорт"	"2013/March/2953.txt"
"ПОЗДРАВЛЯЕМ С ПОБЕДОЙ!"	"Март 14th, 2013 09:12 ДП"	"-"	"Спорт"	"2013/March/2954.txt"
"ИЗ ПЛЕЯДЫ ПОБЕДИТЕЛЕЙ"	"Декабрь 30th, 2015 09:26 ДП"	"-"	"«Творцы Победы»"	"2015/December/2955.txt"
"УСПЕХИ В ДЗЮДО"	"Декабрь 30th, 2015 09:24 ДП"	"-"	"Спорт"	"2015/December/2956.txt"
"«УЧИТЕЛЬ ГОДА — 2015»"	"Декабрь 30th, 2015 09:16 ДП"	"-"	"Район: день за днем"	"2015/December/2957.txt"
"ПРАЗДНОВАНИЕ СВЕНСКОЙ ИКОНЕ БОЖИЕЙ МАТЕРИ "	"Август 25th, 2015 03:13 ПП"	"-"	"Информация"	"2015/August/2958.txt"
"БРЯНСКИЙ РАЙОН — ЭТО МЫ!"	"Август 25th, 2015 08:47 ДП"	"-"	"Район: день за днем"	"2015/August/2959.txt"
"БРЯНСКИЙ РАЙОН — ЭТО МЫ!"	"Август 25th, 2015 08:43 ДП"	"-"	"Район: день за днем"	"2015/August/2960.txt"
"БРЯНСКИЙ РАЙОН — ЭТО МЫ!"	"Август 25th, 2015 08:38 ДП"	"-"	"Район: день за днем"	"2015/August/2961.txt"
"БРЯНСКИЙ РАЙОН — ЭТО МЫ!"	"Август 25th, 2015 08:29 ДП"	"-"	"Район: день за днем"	"2015/August/2962.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Август 25th, 2015 08:27 ДП"	"-"	"Народ и власть"	"2015/August/2963.txt"
"13 СЕНТЯБРЯ — ВСЕ НА ВЫБОРЫ!"	"Август 25th, 2015 08:27 ДП"	"-"	"Народ и власть"	"2015/August/2964.txt"
"ИНФОРМКУРЬЕР"	"Август 25th, 2015 08:25 ДП"	"-"	"Район: день за днем"	"2015/August/2965.txt"
"ПОДГОТОВКА ШКОЛ К УЧЕБНОМУ ГОДУ"	"Август 25th, 2015 08:25 ДП"	"-"	"Район: день за днем"	"2015/August/2966.txt"
"АЛЕКСАНДР БОГОМАЗ: БЕЗ ДУХОВНОСТИ НАРОД НЕ СУЩЕСТВУЕТ"	"Декабрь 5th, 2014 11:18 ДП"	"-"	"Народ и власть"	"2014/December/2967.txt"
"ПАЛЬЦО: И СНОВА НОВЫЙ ДОМ"	"Декабрь 5th, 2014 11:17 ДП"	"Александр КАЗАКОВ."	"Район: день за днем"	"2014/December/2968.txt"
"ДЛЯ НАШИХ МАМ"	"Декабрь 5th, 2014 11:15 ДП"	"Виктор СТЕПАНОВ."	"Район: день за днем"	"2014/December/2969.txt"
"ИНТЕРАКТИВНАЯ ЭКСКУРСИЯ"	"Декабрь 5th, 2014 11:14 ДП"	"Светлана РОМАШОВА."	"Это интересно"	"2014/December/2970.txt"
"СКАЖИ НАРКОТИКАМ — НЕТ!"	"Декабрь 5th, 2014 11:13 ДП"	"Артем СЕРГЕЕВ."	"Письмо в газету"	"2014/December/2971.txt"
"«МОЯ РОДИНА» — В РИСУНКАХ ДЕТЕЙ"	"Декабрь 5th, 2014 11:13 ДП"	"Артур АЗАРОВ."	"Это интересно"	"2014/December/2972.txt"
"САМОЕ ГЛАВНОЕ — ИМЕТЬ ЦЕЛЬ!"	"Декабрь 5th, 2014 11:12 ДП"	"Виолетта БУРНАЙКИНА."	"Наши земляки"	"2014/December/2973.txt"
"ЧЕМПИОНЫ МИРА!"	"Декабрь 5th, 2014 11:11 ДП"	"     Ольга Преснякова."	"Спорт"	"2014/December/2974.txt"
"ОБЩЕСТВЕННЫЙ СОВЕТ ПРИ МВД"	"Декабрь 5th, 2014 11:10 ДП"	"Сергей БУДИН,"	"Народ и власть"	"2014/December/2975.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Декабрь 5th, 2014 11:09 ДП"	"-"	"Народ и власть"	"2014/December/2976.txt"
"ТАКУЮ ПАМЯТЬ ИСТРЕБИТЬ НЕЛЬЗЯ"	"Апрель 21st, 2014 04:04 ПП"	"Валентин СТЕПАНОВ."	"Район: день за днем"	"2014/April/2977.txt"
"«ЛУЧШИЙ ПРЕДПРИНИМАТЕЛЬ БРЯНСКОГО РАЙОНА»"	"Апрель 21st, 2014 04:02 ПП"	"Оргкомитет."	"Службы информируют"	"2014/April/2978.txt"
"«АГРОСМАК» И «ЭКОФРИО» НАЧИНАЮТ РАБОТУ С БРИТАНСКИМИ ПАРТНЁРАМИ"	"Апрель 21st, 2014 03:48 ПП"	"Ирина КАМЧАТОВА."	"Район: день за днем"	"2014/April/2979.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Апрель 21st, 2014 03:44 ПП"	"Пресс-служба."	"Народ и власть"	"2014/April/2980.txt"
"ФЕДЕРАЛЬНЫЙ ЗАКОН «О СПЕЦИАЛЬНОЙ ОЦЕНКЕ УСЛОВИЙ ТРУДА»"	"Февраль 21st, 2014 09:42 ДП"	"-"	"Службы информируют"	"2014/February/2981.txt"
"I ВСЕРОССИЙСКИЙ КОНКУРС ДЕТСКОГО И ЮНОШЕСКОГО ТВОРЧЕСТВА «СЛАВЬСЯ, КАЗАЧЕСТВО!»"	"Июнь 10th, 2013 04:11 ПП"	"-"	"Информация"	"2013/June/2982.txt"
"Фотоконкурс «ЭКОВЗГЛЯД»"	"Июнь 10th, 2013 04:08 ПП"	"-"	"Информация"	"2013/June/2983.txt"
"РАЗВИТИЕ РАЙОНА ПРОДОЛЖАЕТСЯ"	"Июнь 10th, 2011 03:49 ПП"	"-"	"Район: день за днем"	"2011/June/2984.txt"
"ТЕХНИЧЕСКОЕ ОСНАЩЕНИЕ СЕЛЬХОЗПРЕДПРИЯТИЙ УЛУЧШАЕТСЯ"	"Июнь 10th, 2011 03:48 ПП"	"-"	"Район: день за днем"	"2011/June/2985.txt"
"В МИРЕ ПРЕКРАСНОГО"	"Июнь 10th, 2011 03:45 ПП"	"-"	"Разное"	"2011/June/2986.txt"
"ДВОЙНОЙ ПРАЗДНИК В ДОБРУНИ"	"Июнь 10th, 2011 03:43 ПП"	"-"	"Район: день за днем"	"2011/June/2987.txt"
"НА КАНИКУЛАХ — И ОТДОХНУТЬ, И ПОРАБОТАТЬ"	"Июнь 10th, 2011 03:42 ПП"	"-"	"Разное"	"2011/June/2988.txt"
"С ДОБРЫМ СЕРДЦЕМ"	"Октябрь 2nd, 2014 10:48 ДП"	"Наталия КРАСНОСЕЛЬСКАЯ."	"Судьбы людские"	"2014/October/2989.txt"
"ВПЕРЕД — НА ПЕРВЕНСТВО МИРА!   "	"Октябрь 2nd, 2014 10:42 ДП"	"Виктория БУРОВА. "	"Спорт"	"2014/October/2990.txt"
"ВРЕМЯ ИДЕТ, ПАМЯТЬ ОСТАЁТСЯ…"	"Октябрь 2nd, 2014 10:41 ДП"	"Т.Г. Лобкова,"	"Письмо в газету"	"2014/October/2991.txt"
"ШАГАЕМ В НОГУ СО ВРЕМЕНЕМ"	"Октябрь 2nd, 2014 10:40 ДП"	"Е.В. Тенютина,"	"Профессиональный праздник"	"2014/October/2992.txt"
"ЦИКЛ ДОКУМЕНТАЛЬНЫХ ФИЛЬМОВ «РОССИЯ БЕЗ ТЕРРОРА»"	"Октябрь 20th, 2015 01:34 ПП"	"-"	"Информация"	"2015/October/2993.txt"
"Об изменениях в предоставлении мер социальной поддержки на оплату жилого помещения и коммунальных услуг отдельным категориям граждан в соответствии с федеральным законодательством"	"Октябрь 20th, 2015 01:34 ПП"	"-"	"Службы информируют"	"2015/October/2994.txt"
"«РОССИЙСКАЯ ОРГАНИЗАЦИЯ ВЫСОКОЙ СОЦИАЛЬНОЙ ЭФФЕКТИВНОСТИ»"	"Октябрь 20th, 2015 01:33 ПП"	"-"	"Информация"	"2015/October/2995.txt"
"КОМПЬЮТЕР — ДЛЯ ПЕНСИОНЕРОВ"	"Октябрь 20th, 2015 01:33 ПП"	"-"	"Службы информируют"	"2015/October/2996.txt"
"Внимание! Розыск!"	"Октябрь 20th, 2015 08:14 ДП"	"-"	"Информация"	"2015/October/2997.txt"
"КОМПЛЕКСНАЯ ЗАСТРОЙКА — КАЧЕСТВО И СРОКИ"	"Июнь 11th, 2014 09:30 ДП"	"Наталия КАМЧАТОВА."	"Район: день за днем"	"2014/June/2998.txt"
"ВСЕГДА ВПЕРЕДИ!"	"Июнь 11th, 2014 09:29 ДП"	"-"	"Спорт"	"2014/June/2999.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июнь 11th, 2014 09:25 ДП"	"Пресс-служба."	"Народ и власть"	"2014/June/3000.txt"
"МЕЖДУНАРОДНЫЙ ПЛЕНЭР"	"Июнь 11th, 2014 09:24 ДП"	"Татьяна МИХАЛЬЧЕНКО."	"Район: день за днем"	"2014/June/3001.txt"
"СТАНУТ ДОБРОЙ ТРАДИЦИЕЙ"	"Июнь 5th, 2014 09:14 ДП"	"Виктор КОПРИКОВ."	"Район: день за днем"	"2014/June/3002.txt"
"ЯРМАРКА ВАКАНСИЙ ДЛЯ МОЛОДЕЖИ"	"Июнь 5th, 2014 09:13 ДП"	"Анна ЯВИЧЕВА,"	"Службы информируют"	"2014/June/3003.txt"
"КАЖДОМУ НУЖНА МАМА!"	"Июнь 5th, 2014 09:12 ДП"	"Татьяна Весельская,"	"Службы информируют"	"2014/June/3004.txt"
"НА ЗЕМЛЕ БОЯНА"	"Июнь 5th, 2014 09:11 ДП"	"Влада Суворова."	"Разное"	"2014/June/3005.txt"
"ИНФОРМКУРЬЕР"	"Июнь 5th, 2014 09:10 ДП"	"-"	"Район: день за днем"	"2014/June/3006.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Июнь 5th, 2014 09:10 ДП"	"Пресс-служба."	"Народ и власть"	"2014/June/3007.txt"
"ПОБЕДИТЕЛИ И ПРИЗЁРЫ СОРЕВНОВАНИЙ "	"Февраль 8th, 2013 10:28 ДП"	"-"	"Район: день за днем"	"2013/February/3008.txt"
"ПОБЕДА — У САМЫХ СИЛЬНЫХ"	"Февраль 8th, 2013 10:14 ДП"	"-"	"Район: день за днем"	"2013/February/3009.txt"
"НАДЕЖДА ИЗ НОВОСЁЛОК — СЕДЬМАЯ В РОССИИ"	"Октябрь 5th, 2011 05:13 ПП"	"-"	"Наши земляки"	"2011/October/3010.txt"
"Внимание! Конкурс!"	"Октябрь 13th, 2015 11:16 ДП"	"-"	"Информация"	"2015/October/3011.txt"
"ОТКРЫТ НОВЫЙ БИБЛИОТЕЧНЫЙ ЦЕНТР"	"Февраль 25th, 2015 09:58 ДП"	"-"	"Район: день за днем"	"2015/February/3012.txt"
"ОБЪЕДИНИТЬСЯ ВОКРУГ ОБЩЕЙ ЗАДАЧИ"	"Февраль 25th, 2015 09:57 ДП"	"-"	"Народ и власть"	"2015/February/3013.txt"
"ОБЩАЯ ПОБЕДА"	"Февраль 25th, 2015 09:56 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3014.txt"
"«ЧЕСТЬ ИМЕЮ»"	"Февраль 25th, 2015 09:55 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3015.txt"
"МАСЛЕНИЧНЫЕ ЗАБАВЫ"	"Февраль 25th, 2015 09:54 ДП"	"Е.Н. Еротыкина,"	"Разное"	"2015/February/3016.txt"
"В ЗАЛЕ БОЕВОЙ СЛАВЫ"	"Февраль 25th, 2015 09:53 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3017.txt"
"СЛУЖИТЬ ОТЕЧЕСТВУ"	"Февраль 25th, 2015 09:52 ДП"	"И.М. Кудактина,"	"Письмо в газету"	"2015/February/3018.txt"
"В БРЯНСКОЙ ОБЛАСТИ БУДЕТ СОЗДАН ОБЩЕСТВЕННЫЙ АНТИКРИЗИСНЫЙ ШТАБ"	"Февраль 20th, 2015 03:36 ПП"	"-"	"Народ и власть"	"2015/February/3019.txt"
"РОССИЯ ТУРИСТИЧЕСКАЯ ГЛАЗАМИ ДЕТЕЙ"	"Февраль 20th, 2015 03:34 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3020.txt"
"ПОЛИЦЕЙСКИЕ ВЫЯВИЛИ ИГРОВОЙ САЛОН"	"Февраль 5th, 2015 12:54 ПП"	"Пресс-служба"	"Происшествия"	"2015/February/3021.txt"
"ПЕРВЫЙ  УЧИТЕЛЬ"	"Февраль 5th, 2015 12:54 ПП"	"С уважением"	"Письмо в газету"	"2015/February/3022.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Февраль 5th, 2015 12:52 ПП"	"-"	"Народ и власть"	"2015/February/3023.txt"
"ИНФОРМКУРЬЕР"	"Февраль 5th, 2015 12:51 ПП"	"-"	"Район: день за днем"	"2015/February/3024.txt"
"БРЯНСКИЙ РЕПОРТАЖ В «ВЕСТЯХ НЕДЕЛИ»"	"Февраль 3rd, 2015 10:13 ДП"	"-"	"Информация"	"2015/February/3025.txt"
"ОБЕСПЕЧЕНИЕ ЖИЛЬЕМ ДЕТЕЙ-СИРОТ  НА КОНТРОЛЕ ОБЛАСТНОЙ ВЛАСТИ"	"Февраль 5th, 2015 01:01 ПП"	"-"	"Народ и власть"	"2015/February/3026.txt"
"ПРАВИТЕЛЬСТВО ПОМОЖЕТ РЕГИОНАМ ПЕРЕЖИТЬ ТЯЖЕЛОЕ ВРЕМЯ В ЭКОНОМИКЕ"	"Февраль 5th, 2015 01:01 ПП"	"Константин ЩЕГЛОВ."	"Народ и власть"	"2015/February/3027.txt"
"БЕРЕЧЬ МИР НА ЗЕМЛЕ"	"Февраль 5th, 2015 01:00 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3028.txt"
"В ПАМЯТЬ ОБ ОТЦЕ"	"Февраль 5th, 2015 12:59 ПП"	"-"	"«Творцы Победы»"	"2015/February/3029.txt"
"НА ПЕРВЕНСТВЕ РОССИИ"	"Февраль 5th, 2015 12:57 ПП"	"Артем СЕРГЕЕВ."	"Спорт"	"2015/February/3030.txt"
"С 1 ФЕВРАЛЯ — ИНДЕКСАЦИЯ СТРАХОВЫХ ПЕНСИЙ"	"Февраль 5th, 2015 12:57 ПП"	"Начальник отдела УПФР по Брянскому району"	"Службы информируют"	"2015/February/3031.txt"
"ДОБРАЯ ТРАДИЦИЯ"	"Февраль 5th, 2015 12:55 ПП"	"Наталья Храменкова,"	"Разное"	"2015/February/3032.txt"
"СОЛДАТСКИЕ ДОРОГИ"	"Февраль 11th, 2015 03:56 ПП"	"-"	"«Творцы Победы»"	"2015/February/3033.txt"
"БРЯНСКИЙ МАТРОС С «БРИЛЛИАНТА»"	"Февраль 11th, 2015 02:21 ПП"	"-"	"«Творцы Победы»"	"2015/February/3034.txt"
"У ГЛАВЫ БРЯНСКОЙ ОБЛАСТИ АЛЕКСАНДРА БОГОМАЗА ВЫСОКИЙ РЕЙТИНГ"	"Февраль 11th, 2015 10:29 ДП"	"-"	"Народ и власть"	"2015/February/3035.txt"
"ДОБРО ПОЖАЛОВАТЬ В ОВСТУГ"	"Февраль 11th, 2015 10:26 ДП"	"-"	"Информация"	"2015/February/3036.txt"
"ВНИМАНИЕ, КОНКУРС!"	"Февраль 11th, 2015 10:25 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3037.txt"
"210 БОЕВЫХ ВЫЛЕТОВ"	"Февраль 11th, 2015 10:23 ДП"	"-"	"«Творцы Победы»"	"2015/February/3038.txt"
"ПО ЗОВУ ПАМЯТИ"	"Февраль 11th, 2015 10:23 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3039.txt"
"ГОНКА ОЛИМПИЙСКИХ НАДЕЖД"	"Февраль 11th, 2015 10:21 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3040.txt"
"АЛЕКСАНДР БОГОМАЗ ДАЛ СТАРТ «ЛЫЖНЕ РОССИИ»"	"Февраль 11th, 2015 10:20 ДП"	"Константин ЩЕГЛОВ."	"Спорт"	"2015/February/3041.txt"
"ЗАСЕДАНИЕ РЕГИОНАЛЬНОГО ПОЛИТИЧЕСКОГО СОВЕТА ВПП «ЕДИНАЯ РОССИЯ»"	"Февраль 11th, 2015 10:13 ДП"	"-"	"Народ и власть"	"2015/February/3042.txt"
"ВОССОЗДАНИЕ УСПЕНСКОГО СОБОРА"	"Февраль 13th, 2015 04:20 ПП"	"-"	"Район: день за днем"	"2015/February/3043.txt"
"«Я ГОРЖУСЬ СВОЕЙ СЕМЬЕЙ!»"	"Февраль 13th, 2015 04:20 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3044.txt"
"ИСТОРИЧЕСКОЕ СОБЫТИЕ «БИТВА НА КУРСКОЙ ДУГЕ»"	"Февраль 13th, 2015 04:19 ПП"	"-"	"«Творцы Победы»"	"2015/February/3045.txt"
"ВНИМАНИЕ — ТВОРЧЕСКОМУ НАСЛЕДИЮ БРЯНСКОГО КРАЯ"	"Февраль 13th, 2015 04:17 ПП"	"Виктория БУРОВА."	"Район: день за днем"	"2015/February/3046.txt"
"ДОБРУ ОТКРОЮТСЯ СЕРДЦА"	"Февраль 13th, 2015 04:16 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3047.txt"
"ИЗМЕНИЛИСЬ СТАВКИ ДОПОЛНИТЕЛЬНЫХ СТРАХОВЫХ ВЗНОСОВ В ПЕНСИОННЫЙ ФОНД ДЛЯ РАБОТОДАТЕЛЕЙ"	"Февраль 13th, 2015 04:15 ПП"	"Начальник отдела УПФР по Брянскому району"	"Службы информируют"	"2015/February/3048.txt"
"ПОКА СЕРДЦА СТУЧАТСЯ, ПОМНИТЕ!"	"Февраль 13th, 2015 04:15 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3049.txt"
"ВЫСОКИЙ РЕЙТИНГ — ОТРАЖЕНИЕ РЕАЛЬНОСТИ"	"Февраль 13th, 2015 04:14 ПП"	"-"	"Народ и власть"	"2015/February/3050.txt"
"СОЦИАЛЬНЫЕ УСЛУГИ НАСЕЛЕНИЮ"	"Февраль 13th, 2015 04:13 ПП"	"Светлана РОМАШОВА."	"Спрашивали – отвечаем"	"2015/February/3051.txt"
"ДОРОГАМИ ВОЙНЫ"	"Февраль 13th, 2015 04:11 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3052.txt"
"ДМИТРИЙ МЕДВЕДЕВ ОТМЕТИЛ БРЯНСКУЮ ОБЛАСТЬ"	"Февраль 19th, 2015 12:57 ПП"	"-"	"Народ и власть"	"2015/February/3053.txt"
"Проект реконструкции мемориала, посвященного жителям Супонево, не вернувшимся с Великой Отечественной войны"	"Февраль 19th, 2015 12:54 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3054.txt"
"«НЕ ЗАНИМАТЬСЯ ФИКЦИЕЙ, А РАБОТАТЬ»"	"Февраль 19th, 2015 12:52 ПП"	"-"	"В администрации района"	"2015/February/3055.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ     "	"Февраль 19th, 2015 12:51 ПП"	"-"	"Народ и власть"	"2015/February/3056.txt"
"«БЕССМЕРТНЫЙ ПОЛК»"	"Февраль 19th, 2015 12:51 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3057.txt"
"ИНФОРМКУРЬЕР"	"Февраль 19th, 2015 12:47 ПП"	"-"	"Район: день за днем"	"2015/February/3058.txt"
"РЕШАЮТ ОБЩИЕ ЗАДАЧИ"	"Февраль 19th, 2015 12:47 ПП"	"Валентин Степанов."	"Районные, областные и федеральные акции"	"2015/February/3059.txt"
"НУЖНА ВСТРЕЧА С ЧУДОМ"	"Февраль 19th, 2015 12:44 ПП"	"Виолетта БУРНАЙКИНА."	"Это интересно"	"2015/February/3060.txt"
"В БРЯНСКОЙ ОБЛАСТНОЙ ДУМЕ"	"Февраль 19th, 2015 12:43 ПП"	"     Информационно-аналитический отдел"	"Народ и власть"	"2015/February/3061.txt"
"ВЕРНУТЬСЯ К ГРАФИКУ И ПОДГОТОВИТЬСЯ К СЕВУ"	"Февраль 19th, 2015 12:42 ПП"	"Валентин СТЕПАНОВ."	"Район: день за днем"	"2015/February/3062.txt"
"ИНФОРМКУРЬЕР"	"Февраль 25th, 2015 10:01 ДП"	"-"	"Район: день за днем"	"2015/February/3063.txt"
"ВСТРЕЧА  С ВЕТЕРАНАМИ"	"Февраль 25th, 2015 10:00 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/February/3064.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Февраль 25th, 2015 10:00 ДП"	"-"	"Народ и власть"	"2015/February/3065.txt"
"ПРЕЗИДЕНТ РОССИИ ВЛАДИМИР ПУТИН ВРУЧИЛ МЕДАЛЬ ЕВДОКИИ ЛЕМАЕВОЙ"	"Февраль 25th, 2015 09:59 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/February/3066.txt"
"АКЦИЯ «МИЛОСЕРДИЕ» ПРОДОЛЖАЕТСЯ"	"Февраль 25th, 2015 09:58 ДП"	"Ирина КАМЧАТОВА."	"Судьбы людские"	"2015/February/3067.txt"
"ПОЗДРАВЛЕНИЕ ВЕТЕРАНОВ"	"Июнь 20th, 2012 12:44 ПП"	"-"	"В администрации района"	"2012/June/3068.txt"
"ВЕЛИЧАЙШИЕ ЦЕННОСТИ, ДАРОВАННЫЕ ЧЕЛОВЕКУ"	"Июнь 15th, 2012 01:11 ПП"	"-"	"В администрации района"	"2012/June/3069.txt"
"ПОЗАДИ ВЕСЕННЯЯ СТРАДА"	"Июнь 15th, 2012 01:10 ПП"	"-"	"Район: день за днем"	"2012/June/3070.txt"
"ЧТО ПО СИЛАМ НОВОСЕЛЬЦАМ, НЕ КАЖДОМУ РАЙОНУ ПО ПЛЕЧУ"	"Июнь 15th, 2012 01:06 ПП"	"-"	"Район: день за днем"	"2012/June/3071.txt"
"ГЛАВНАЯ «БЕРЕЗКА» — В ПУТЕВКЕ"	"Июнь 15th, 2012 01:04 ПП"	"-"	"Район: день за днем"	"2012/June/3072.txt"
"ТАРИФЫ — В РАЗРЕЗЕ ПОСЕЛЕНИЙ"	"Июнь 15th, 2012 12:58 ПП"	"-"	"В администрации района"	"2012/June/3073.txt"
"ОБ УСТАНОВКЕ ПРИБОРОВ УЧЕТА"	"Июнь 15th, 2012 12:57 ПП"	"-"	"Информация"	"2012/June/3074.txt"
"О порядке установки приборов учета электрической и тепловой энергии, горячей и холодной воды"	"Июнь 14th, 2012 09:43 ПП"	"-"	"Информация"	"2012/June/3075.txt"
"УМЕЮТ ТУТ ВЫРАЩИВАТЬ ПШЕНИЦУ И ПОЛУЧАТЬ «БОЛЬШОЕ МОЛОКО»"	"Июнь 7th, 2012 01:20 ПП"	"-"	"Район: день за днем"	"2012/June/3076.txt"
"«ПОЧТА РОССИИ» ВСЕГДА РЯДОМ!   "	"Июнь 7th, 2012 01:10 ПП"	"-"	"Разное"	"2012/June/3077.txt"
"КОРМА С ГАРАНТИЕЙ КАЧЕСТВА"	"Июнь 1st, 2012 03:24 ПП"	"-"	"Район: день за днем"	"2012/June/3078.txt"
"МОЙ ПРАДЕД – ГЕРОЙ"	"Февраль 20th, 2015 03:19 ПП"	"-"	"«Творцы Победы»"	"2015/February/3079.txt"
"На Брянщине дан старт акции «Народная Победа»"	"Февраль 20th, 2015 03:18 ПП"	"-"	"К 70-летию Великой Победы"	"2015/February/3080.txt"
"ЗАЩИТНИКАМ ОТЕЧЕСТВА ПОСВЯЩАЕТСЯ"	"Февраль 6th, 2015 11:30 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3081.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Февраль 6th, 2015 11:30 ДП"	"-"	"Народ и власть"	"2015/February/3082.txt"
"НА РАТНОМ ПОЛЕ РАСТЁТ И ХЛЕБ…"	"Февраль 6th, 2015 11:39 ДП"	"-"	"«Творцы Победы»"	"2015/February/3083.txt"
"В РАБОЧЕМ ПОРЯДКЕ"	"Февраль 6th, 2015 11:39 ДП"	"Александр КАЗАКОВ."	"В администрации района"	"2015/February/3084.txt"
"ТАЛАНТЛИВЫЙ ЧЕЛОВЕК ТАЛАНТЛИВ ВО ВСЕМ!"	"Февраль 6th, 2015 11:38 ДП"	"Можно быть талантливым артистом или писателем"	"Наши земляки"	"2015/February/3085.txt"
"ОБЪЯВЛЯЕТСЯ НАБОР В АВТОШКОЛЫ ДОСААФ РОССИИ"	"Февраль 6th, 2015 11:36 ДП"	"-"	"Службы информируют"	"2015/February/3086.txt"
"УЧИТЕЛЬ! ДАЖЕ ЧЕРЕЗ МНОГО ЛЕТ ЗАЖЖЕННЫЙ ВАМИ НЕ ПОГАСНЕТ СВЕТ…"	"Февраль 6th, 2015 11:35 ДП"	"Коллектив"	"Судьбы людские"	"2015/February/3087.txt"
"В МИЧУРИНСКОМ ФИЛИАЛЕ БРЯНСКОГО АГРАРНОГО УНИВЕРСИТЕТА — НОВЫЙ РУКОВОДИТЕЛЬ"	"Февраль 6th, 2015 11:34 ДП"	"-"	"Информация"	"2015/February/3088.txt"
"АКЦЕНТ — НА ДИСПАНСЕРИЗАЦИЮ И ОБЩУЮ ПРОФИЛАКТИКУ"	"Февраль 6th, 2015 11:33 ДП"	"Виолетта БУРНАЙКИНА."	"Район: день за днем"	"2015/February/3089.txt"
"ЗДОРОВЬЕ ЖИТЕЛЕЙ РЕГИОНА — ГЛАВНАЯ ЗАДАЧА"	"Февраль 6th, 2015 11:32 ДП"	"Ирина КАМЧАТОВА."	"Народ и власть"	"2015/February/3090.txt"
"ОСНОВНЫЕ НАПРАВЛЕНИЯ – ИМПОРТОЗАМЕЩЕНИЕ И ПРИВЛЕЧЕНИЕ ИНВЕСТИЦИЙ"	"Февраль 6th, 2015 11:31 ДП"	"Артем АЗАРОВ."	"В администрации района"	"2015/February/3091.txt"
"СОВМЕСТНАЯ РАБОТА НА БЛАГО БРЯНЩИНЫ"	"Февраль 11th, 2015 10:10 ДП"	"-"	"Народ и власть"	"2015/February/3092.txt"
"ЧТО ОСТАЛОСЬ ВО МНЕ ОТ ВОЙНЫ…"	"Февраль 11th, 2015 10:03 ДП"	"-"	"К 70-летию Великой Победы"	"2015/February/3093.txt"
"«ВОРУЮЩИЙ ЧИНОВНИК ДОЛЖЕН БЫТЬ ПРИРАВНЕН К ИЗМЕННИКУ!»"	"Февраль 11th, 2015 10:00 ДП"	"Константин Касаминский."	"Народ и власть"	"2015/February/3094.txt"
"ИНФОРМКУРЬЕР"	"Февраль 11th, 2015 09:58 ДП"	"-"	"Район: день за днем"	"2015/February/3095.txt"
"В ПРАВИТЕЛЬСТВЕ ОБЛАСТИ"	"Февраль 11th, 2015 09:57 ДП"	"-"	"Народ и власть"	"2015/February/3096.txt"
"В.В. Путин учредил юбилейную медаль «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"Февраль 11th, 2015 09:26 ДП"	"-"	"Вручение юбилейной медали «70 лет Победы в Великой Отечественной войне 1941-1945 гг.»"	"2015/February/3097.txt"
